File,EPSILON,DELTA,N_BETA,Matched_Genes,Matching_Rate
Human Gene Regulatory Network - Input.txt,0.05,0.1,2,53,0.53
Human Gene Regulatory Network - Input.txt,0.05,0.4,4,53,0.53
Human Gene Regulatory Network - Input.txt,0.05,0.1,3,52,0.52
Human Gene Regulatory Network - Input.txt,0.05,0.2,3,52,0.52
Human Gene Regulatory Network - Input.txt,0.05,0.2,4,52,0.52
Human Gene Regulatory Network - Input.txt,0.05,0.4,2,52,0.52
Human Gene Regulatory Network - Input.txt,0.05,0.2,2,52,0.52
Human Gene Regulatory Network - Input.txt,0.05,0.4,3,52,0.52
Human Gene Regulatory Network - Input.txt,0.05,0.1,4,52,0.52
Human Gene Regulatory Network - Input.txt,0.2,0.1,3,43,0.43
Human Gene Regulatory Network - Input.txt,0.2,0.2,2,43,0.43
Human Gene Regulatory Network - Input.txt,0.2,0.1,2,41,0.41
Human Gene Regulatory Network - Input.txt,0.2,0.2,4,39,0.39
Human Gene Regulatory Network - Input.txt,0.2,0.4,3,39,0.39
Human Gene Regulatory Network - Input.txt,0.2,0.1,4,38,0.38
Human Gene Regulatory Network - Input.txt,0.2,0.2,3,38,0.38
Human Gene Regulatory Network - Input.txt,0.2,0.4,2,38,0.38
Human Gene Regulatory Network - Input.txt,0.2,0.4,4,18,0.18
